id,count
1026,231
1028,235
1031,66
1034,61
1037,192
1040,66
1042,23
1046,28
1048,108
1049,119
1050,65
1051,192
1052,250
1055,114
1060,155
1064,32
1066,83
1071,109
1073,27
1089,170
1091,111
1092,89
1093,235
1096,255
1097,210
1098,20
1099,38
1102,178
1107,87
1109,34
1111,96
1112,123
1114,276
1116,251
1117,121
1118,77
1122,138
1124,171
1127,112
1133,237
1134,40
1135,206
1139,245
1143,63
1150,108
1151,124
1153,256
1155,32
1162,26
1163,205
1166,23
1171,81
1172,27
1173,248
1174,84
1177,129
1178,214
1184,112
1185,119
1186,108
1187,179
1188,261
1191,154
1207,118
1213,39
1215,121
1223,187
1227,125
1236,64
1237,63
1238,30
1241,31
1248,22
1250,27
1251,152
1253,106
1255,108
1257,210
1261,112
1262,288
1265,141
1273,228
1277,240
1278,115
1280,103
1284,237
1285,273
1288,33
1295,122
1297,288
1299,257
1304,196
1308,40
1310,103
1311,115
1314,94
1315,110
1318,39
1320,276
1321,253
1322,232
1330,127
1333,190
1334,217
1341,162
1344,140
1351,237
1354,105
1356,65
1363,124
1365,229
1369,123
1373,107
1375,118
1377,79
1379,147
1380,245
1381,104
1384,195
1390,195
1393,230
1395,64
1399,284
1400,100
1401,137
1404,167
1408,28
1409,26
1413,222
1416,248
1418,110
1423,91
1424,30
1425,27
1433,231
1434,159
1436,289
1442,239
1444,79
1445,187
1452,191
1455,213
1462,67
1467,79
1472,41
1475,137
1493,120
1501,220
1503,266
1504,241
1505,22
1511,207
1512,66
1513,119
1514,33
1528,221
1533,248
1534,26
1536,199
1537,89
1539,235
1550,232
1552,194
1554,234
1555,278
1556,103
1559,27
1563,233
1566,167
1567,211
1568,31
1571,220
1572,22
1574,62
1577,28
1583,97
1585,28
1586,224
1587,212
1596,137
1602,33
1604,80
1605,37
1610,263
1611,104
1616,31
1617,107
1618,25
1622,36
1623,35
1628,263
1631,22
1632,181
1633,242
1634,268
1636,228
1637,112
1643,128
1644,112
1646,93
1648,198
1651,39
1656,21
1658,150
1659,21
1665,109
1666,135
1670,35
1674,188
1679,209
1680,222
1683,298
1686,25
1691,108
1693,38
1696,33
1697,109
1703,88
1706,30
1709,165
1710,80
1712,214
1713,125
1718,283
1719,190
1722,258
1723,134
1724,265
1728,70
1730,28
1732,26
1737,34
1745,79
1747,27
1748,28
1755,111
1759,27
1761,243
1764,242
1765,138
1766,78
1768,81
1770,28
1771,160
1774,111
1785,137
1788,202
1792,27
1794,231
1797,115
1798,18
1799,254
1802,113
1806,39
1808,86
1810,241
1818,94
1819,286
1820,271
1822,223
1826,224
1827,202
1835,22
1841,122
1842,153
1843,30
1846,35
1849,96
1850,196
1851,133
1857,64
1858,178
1860,107
1861,252
1864,113
1869,262
1871,67
1872,26
1875,24
1878,236
1879,254
1885,78
1888,118
1889,28
1890,104
1896,142
1897,163
1898,129
1900,82
1905,33
1908,112
1909,111
1913,66
1918,107
1922,285
1923,122
1925,250
1926,145
1927,248
1930,222
1935,79
1939,124
1942,108
1943,210
1948,249
1949,245
1951,111
1953,122
1959,130
1963,24
1967,183
1973,238
1975,30
1976,76
1990,122
1993,120
1997,127
1999,121
2001,269
2004,80
2010,112
2013,124
2017,282
2021,112
2023,117
2026,158
2037,29
2039,140
2041,25
2046,26
2050,27
2060,221
2067,108
2069,146
2072,250
2074,133
2079,125
2083,30
2085,116
2087,22
2093,140
2094,26
2097,33
2103,106
2104,62
2107,186
2108,23
2110,88
2115,208
2117,26
2125,253
2127,260
2133,22
2134,291
2135,114
2141,246
2143,38
2145,79
2146,33
2147,258
2148,66
2149,62
2165,114
2166,181
2177,124
